m/z,intensity,ions_base_sc
156.56357,2874.4,
166.12271,8979.9,
169.82167,2294.8,
173.40646,13975.1,
175.11919,3814.7,
184.13335,3926.2,
185.16479,90063.0,
186.16817,6977.8,
213.15982,36173.6,Bb2+[N]
214.16251,3423.6,
218.15019,8786.7,
226.119,7094.8,
232.07501,2851.5,
235.11874,5942.5,
237.13518,3366.5,
262.59027,2860.2,
266.16077,11722.4,
284.17178,25785.1,
314.20764,4766.7,
323.00461,3239.7,
328.22272,3518.6,
330.16721,3282.3,
331.23389,25046.3,
337.20374,5381.9,
348.94101,2658.5,
358.21201,5033.4,
360.29453,3069.3,
370.27075,2563.7,
383.23999,10652.5,
386.70383,3042.7,
394.7164,16141.5,Ay7++[N]
395.21967,6111.7,
395.25305,2751.3,
404.25748,5870.4,
411.22314,3488.9,
413.27637,3788.7,
425.2438,3874.5,
429.23444,12407.8,
443.24954,6228.0,
446.26111,4012.9,
458.19971,3935.9,
461.7692,3164.3,
473.24072,6010.4,
484.19751,16142.1,
485.19958,4969.8,
503.29034,8939.9,
503.79053,5493.3,
512.29504,44516.8,By8++[sz]
512.79645,20258.3,
514.32141,4264.1,
527.75317,3113.8,
531.32111,15563.1,
541.16364,3125.6,
542.31921,6688.0,
545.31793,19486.2,Bb9++[sz]
545.82208,3817.8,
551.7561,3455.8,
552.24554,3642.9,
554.32373,11162.8,
554.82678,6665.0,
561.82935,16304.4,By9++[sz]
562.33228,9235.6,
562.82904,4250.0,
567.76111,5995.9,Ay10++[sc]
568.26361,4744.8,
569.16241,3875.7,
577.27087,4748.4,
577.35571,3068.3,
579.78705,3535.9,
590.25983,4245.6,
593.37561,4194.2,
598.76245,3134.8,
599.37695,3924.2,
599.76141,3749.3,
600.28278,4074.7,Ay16+++[sc]
600.36401,4471.3,
600.61865,5567.0,
605.76672,7701.0,
606.26941,4499.4,
606.77002,3023.7,
609.31342,5163.0,
609.36621,40351.3,
609.86786,27708.5,
610.36816,6024.1,
614.27228,4387.5,
618.37103,332813.1,By10++[sz];By0++[sz]
618.87274,197532.0,
619.37415,55560.3,
619.87494,10498.6,
621.77209,4372.0,
622.27246,6340.6,
627.37683,16282.0,
627.87653,7598.8,
628.37848,4439.0,
639.3125,3224.0,
639.81818,5557.8,
641.35358,3712.2,
652.7713,4397.4,
653.63013,5369.6,Ay17+++[sc]
653.96149,4035.7,
658.77448,7482.2,
659.26697,7722.3,
659.77142,3654.8,
666.33441,19699.5,
666.83618,30064.3,
667.27808,16496.2,
667.33905,21992.9,
667.7793,21182.9,
667.83948,10815.6,
668.27771,17493.8,
668.33325,4749.6,
668.82288,4465.8,
673.3988,18451.5,
688.87927,5858.9,
