m/z,intensity,ions_base_sc
110.07133,49517.0,
112.0761,2032.7,
112.08725,4081.7,
115.08671,3436.6,
116.07086,1708.9,
120.08089,29145.0,
123.9379,2018.4,
129.10234,47042.4,
130.08638,20722.8,
136.07578,7605.3,
139.09779,8200.3,
140.08182,2517.3,
140.32664,2229.5,
147.11288,44299.3,
147.2343,1995.2,
149.31697,2038.2,
155.11804,4299.3,
155.72733,2243.6,
156.07677,3709.0,
157.10854,11637.4,
159.11295,13463.6,
160.96982,2283.1,
166.06082,3359.8,
166.12273,247645.0,
167.12613,11984.9,
173.12856,16783.0,
173.40494,35412.4,
175.11909,48875.6,
183.11343,2473.7,
183.14935,29047.1,
184.15315,2361.1,
187.10765,9090.3,
193.13364,2975.7,
194.69951,2720.7,
199.18031,3034.3,
201.12343,14278.2,
209.12834,2912.1,
211.14417,3383.2,
214.15459,2454.8,
221.08411,4963.4,
226.11838,6864.5,
226.15535,15205.7,
227.10246,8350.4,
227.1394,3728.2,
235.11929,7966.2,
237.15964,2628.6,
244.12953,6486.7,
244.16566,60361.0,By2+[N]
245.16978,3968.2,
249.09795,7259.9,
249.14584,10857.4,
254.18642,28423.2,
257.14005,4583.2,
258.14508,4371.7,
260.19754,4922.0,
265.15475,5600.5,
266.17245,5380.9,
267.10959,10696.1,
271.17645,8252.2,
272.0697,3450.5,
273.15817,5723.9,
274.44214,2524.6,
275.93878,2459.0,
276.17062,8403.9,
277.1409,14240.8,
280.1658,27814.6,
281.05148,3843.3,
285.00949,11403.0,
285.13467,17556.7,
287.15491,3581.6,
288.20316,10201.9,
290.14661,3243.3,
294.1665,20776.1,Ab2+[N]
294.18167,50445.3,Ab2+[N]
295.18451,3434.5,
298.17657,4592.0,
299.06146,3950.1,
300.19144,3510.3,
308.16043,18886.5,
309.14487,6947.4,
316.11472,3942.0,
322.17545,5819.2,
326.17117,177759.6,
327.17426,21223.8,
329.69983,12186.0,
339.20313,5255.7,
342.16684,5890.0,
355.0701,44597.5,
356.21219,3944.9,
356.70621,5353.1,
357.21002,3450.6,
358.21353,7011.4,
365.21848,12609.9,
365.72311,3790.2,
375.22342,3297.1,
384.26096,7303.4,
388.61929,2892.1,
391.2337,12940.7,
393.24954,5666.6,
396.14886,4761.1,
399.72858,7408.9,
400.98718,4533.6,
401.28693,27892.4,Ay3+[N]
402.28912,4636.8,
408.73413,46310.1,
409.23581,25933.7,
409.73428,4198.9,
411.26193,5985.7,
413.22855,5535.7,
413.72736,7400.1,
414.1748,6173.0,
414.22733,4066.7,
415.18396,2789.8,
421.24475,15104.0,
425.1781,10018.4,
426.23505,17032.1,
430.21841,4498.4,
431.23996,62687.9,
432.21548,6523.4,
432.24536,11341.8,
435.16425,2830.2,
439.25525,66287.5,
440.25842,10114.0,
446.21417,20150.1,
446.71579,14256.6,
447.26859,2866.1,
450.27249,3864.2,
453.17288,27690.9,
456.27072,18565.1,
456.77115,9627.6,
461.72958,10618.0,
465.27631,240088.5,By7++[sz];By0++[sz]
465.77783,128483.7,
465.81555,5925.2,
466.27936,27965.2,
469.24091,5148.1,
473.2402,6888.7,
474.20795,3894.7,
480.38348,5815.6,
486.26855,5483.2,
492.26611,7620.7,
500.35553,19398.0,Ay4+[N]
501.35681,3931.0,
505.75009,11907.2,
506.25217,3974.9,
511.26419,4219.6,
511.32364,6197.9,
511.76651,5768.7,
