m/z,intensity,ions_base_sc
162.09982,2144.8,
164.42326,2493.2,
166.12292,5985.1,
170.88562,2443.4,
171.07648,4032.4,
173.40671,32942.7,
175.11909,67388.5,
195.08749,4762.2,
211.119,3326.7,
218.05954,6296.8,
225.49091,2723.3,
227.04872,13793.1,
232.11197,3254.1,
234.09077,16469.1,
239.11403,14026.7,
240.13513,4460.4,
243.00912,2570.9,
244.07579,3479.5,
245.55177,3026.9,
253.04092,2915.7,
253.20995,2859.3,
258.1452,7383.5,
260.10669,3625.2,
262.08585,87160.0,Ab2+[N]
263.08908,8736.9,
270.14508,30014.9,
276.15552,7772.0,
289.09708,3617.3,
299.12222,3436.6,
312.17838,18867.4,
342.72736,2992.0,
348.20313,2974.8,
361.15427,33907.4,Ab3+[N]
362.1554,4447.4,
383.21518,37956.8,
384.21906,5291.0,
404.19772,2988.4,
408.18951,4982.6,
418.17328,4935.7,
432.19147,11667.8,
436.18542,19894.1,
449.25122,8371.8,
453.21011,8268.0,
461.75958,6132.4,
462.258,2672.5,
493.20795,59359.9,Ay4+[N]
494.21069,9415.4,
495.20648,3112.6,
496.29956,34775.7,
497.30087,7293.3,
530.28827,33284.0,
530.79089,14126.8,
531.28864,5097.8,
547.21881,25235.6,Ab5+[N]
548.22168,5114.2,
553.43335,2903.6,
564.24493,66409.1,Ay5+[N]
564.29224,4399.4,
565.24707,9687.3,
571.80835,12186.0,
572.3067,5023.2,
580.81244,162061.3,
581.31403,85006.1,
581.81543,14537.3,
625.34253,20986.6,
626.34558,6924.3,
629.32062,3040.5,
629.81549,6005.9,
630.82007,3446.7,
637.28558,4490.1,
638.32281,6852.1,
642.22717,4601.9,
646.31982,4912.4,
665.32874,3070.7,
670.34192,17466.7,
670.84058,14977.4,
671.33838,6879.0,
679.3468,250262.9,By10++[sz];By0++[sz]
679.84833,146254.5,
679.91675,4023.1,
680.34918,31999.6,
683.29242,5906.7,
688.35193,8354.0,
688.84601,3562.3,
694.36047,4444.8,
701.30365,33470.2,Ay6+[N]
702.30725,11142.8,
712.3739,121351.6,
713.37671,30784.5,
714.37775,3449.6,
721.3573,7178.5,
723.28925,6511.6,
726.64856,3628.6,
732.3009,6392.7,
739.36639,25751.3,
752.68896,3282.4,
753.35126,4980.3,
754.33575,3308.7,
755.34735,3260.4,
758.69086,24128.1,Ay8+++[pepB]
759.02557,24247.4,
759.36072,12744.5,
765.38318,3964.6,
770.32568,4960.3,
776.69489,3739.9,
783.39246,61388.2,
788.3363,38612.7,Ay7+[N]
789.33673,12875.4,
789.47266,31475.7,
790.47498,19537.3,
791.35938,3814.5,
791.47839,5005.8,
792.48224,3375.3,
795.70111,4428.0,Ab10+++[pepB]
796.03839,4749.6,
796.367,4373.6,
797.03094,9850.8,Ay9+++[pepB]
797.36682,8110.3,
797.70343,4367.2,
814.71051,5953.0,
815.37781,4656.7,
816.06158,3074.4,
819.04596,5662.5,
820.71234,13811.2,Ay10+++[pepB]
821.04645,21621.2,
821.3797,16714.6,
826.37512,5603.9,
827.41858,60242.5,
830.83344,28521.4,
831.33411,21937.8,
831.83453,7135.6,
839.71722,5056.0,Bb8+++[pepA]
840.04773,7713.3,
841.38965,14675.1,
841.72278,9607.9,
842.05829,8757.1,
843.37421,3107.4,
847.39459,3617.4,
847.72876,4761.9,
848.06354,6668.9,
849.04565,11279.5,Ab11+++[pepB]
849.37958,13345.3,
849.71246,4022.3,
850.0517,4396.2,
852.37396,3884.6,
853.73529,30235.7,Ay11+++[pepB]
854.06879,36063.9,
854.40149,13476.1,
854.73785,4007.8,
861.72742,8716.0,
862.0592,5146.7,
862.39185,10886.1,
869.06879,4907.4,
869.40314,13201.2,
872.35919,3215.6,
874.05603,4021.7,
875.07092,60371.8,
875.40479,54469.2,
875.73956,41068.9,
