m/z,intensity,ions_base_sc
163.17546,2396.3,
166.12276,10672.3,
173.20038,2263.8,
173.40677,25813.7,
175.11877,7296.0,
176.21124,2637.1,
185.16487,45699.5,
186.16855,5006.7,
200.13925,3613.4,
213.15976,22420.0,
218.14929,3280.2,
221.0948,4413.8,
239.10681,2889.9,
244.16602,5501.6,
315.93555,2617.8,
322.70261,2964.6,
331.23373,12845.5,
394.71609,8356.1,
411.2594,3506.4,
415.16321,2925.6,
420.30603,3360.9,
429.23355,8221.8,
446.26175,3007.2,Ay4+[N]
447.2576,3265.5,
493.12549,2718.8,
522.29065,4243.7,
542.31836,3929.0,
593.51636,2771.4,
641.79578,5738.9,
653.96436,3629.9,
673.40118,5915.1,Ay6+[N]
674.40552,3349.3,
690.35669,4622.2,
745.37054,3406.5,Ay13++[N]
745.86859,4072.6,
777.38861,10325.1,
788.42865,6166.9,
831.39484,3707.5,Ay15++[N]
831.89404,2929.4,
847.91052,3417.3,
857.03912,5012.7,
860.66467,3856.9,
860.9115,5387.5,
877.48212,4169.6,
889.92438,7342.1,
896.414,3821.0,
899.92072,3693.2,
900.51703,3982.6,
901.5188,4565.0,
902.47131,3385.5,
910.43164,3219.4,
910.67914,3678.9,
910.92456,4289.9,
914.42926,11028.5,
914.67822,24322.6,
914.92822,34680.1,
915.1795,34612.6,
915.42755,12790.2,
927.07819,5095.1,
927.40656,4205.0,
932.11353,5222.0,
932.42889,5998.2,
935.4469,5192.9,
939.4472,10946.2,
939.69318,8149.5,
939.95038,3985.1,
940.20007,5328.8,
947.4585,5742.3,
948.43738,3680.9,
952.21246,3094.8,
953.94666,3939.9,
956.48743,3347.4,
956.71289,4901.9,
961.77307,9667.3,
962.10626,6147.5,
962.44989,9959.0,
962.96069,8463.1,
963.21777,10248.5,
963.46552,18125.7,
963.71515,14989.0,
963.96472,5622.9,
967.09601,4343.6,
967.20117,11017.1,
967.46637,40845.9,
967.71826,53662.0,
967.9682,57540.1,
968.21899,74431.0,
968.4649,37323.3,
968.71912,11903.2,
972.43079,10575.6,
972.76599,15765.3,
973.0968,18168.5,
973.43292,10574.1,
1005.45288,5906.1,
1005.78979,17886.2,
1006.12323,9351.8,
1006.45319,7855.9,
1038.15125,3539.2,
1058.87585,3541.4,
1060.46143,3460.6,
1060.95581,3520.8,
1075.49817,7501.3,
1075.82983,16197.0,Ay27+++[sz]
1076.16492,14727.8,
1076.4989,14109.7,
1103.17529,3593.5,
1103.5105,4009.5,
1103.84717,4159.5,
1109.1748,25556.1,Ay24+++[pepB]
1109.50732,27922.3,
1109.8429,27211.8,
1110.18213,20081.8,
1110.5177,10741.4,
1112.80457,3714.5,
1134.51892,5896.8,
1142.51709,4694.9,
1146.04346,5103.5,
1146.54565,8692.8,Ay29+++[sz];Ay0+++[sz]
1146.87,10375.4,Ay25+++[pepB]
1147.06946,3906.6,
1147.2063,18475.1,
1147.53894,12996.0,
1147.87109,14101.8,
1148.21033,6029.6,
1163.58081,6745.4,
1170.06384,6633.4,
1170.54028,11668.0,
1170.86475,8719.6,
1176.55859,4648.7,
1176.86365,5251.1,
1179.53284,6558.2,Ab26+++[pepB]
1179.88403,10125.4,
1180.21216,14681.0,
1180.54651,15847.2,
1183.24109,5280.1,
1185.21826,8677.6,Ay26+++[pepB]
1185.56946,5666.4,
1185.88733,19241.8,
1186.21948,11291.9,
1186.55347,6835.3,
1204.56262,4004.8,
1208.2301,5589.0,
1213.23999,4695.2,
1213.56201,10009.4,
1213.90088,10824.7,
1218.57007,5491.1,
1218.90039,36203.0,Ay27+++[pepB]
1219.23535,63015.1,
1219.56873,72605.6,
1219.90247,79998.0,
1220.23584,26870.1,
1232.58594,5739.1,
1235.58057,3971.0,
1241.25012,15833.4,
1241.58435,8262.3,
1241.91138,10232.0,
1242.25781,5332.1,
1252.26062,4664.2,
1252.59021,12510.0,
1260.60461,17327.4,
1261.59729,9272.1,
1265.57288,4733.0,
1317.07751,3704.4,
1376.65186,4646.3,
1389.61279,4826.0,
1390.61646,5805.7,
1412.77612,4466.5,
1450.69934,7692.1,
1458.15271,5269.7,
1459.14392,5093.9,
1459.64636,4752.0,
1489.73376,3886.7,
1492.65283,4215.7,
