m/z,intensity,ions_base_sc
159.35075,2179.2,
166.12238,2280.0,
173.40291,27696.6,
185.16478,85003.9,
186.16824,5040.0,
200.13951,2753.3,
202.38715,2905.1,
213.1597,31435.0,
218.14995,11783.9,
230.14861,4440.9,
269.49722,3629.3,
285.41595,2943.0,
294.18265,2597.1,
314.20737,4956.1,
330.16666,4083.5,
331.23395,28381.5,Ay3+[N]
332.23685,5552.3,
337.20328,9913.7,Ay6++[N]
337.70398,4800.8,
342.20242,3130.4,
379.23349,2961.1,
382.42975,2539.6,
387.89322,2927.7,
394.71671,28787.8,Ay7++[N]
395.21878,8789.9,
395.71765,4206.8,
406.60931,3045.7,
413.20285,4125.9,
429.23428,17904.9,Ab4+[N]
430.23862,3687.4,
443.25043,2718.1,
447.34482,2705.7,
452.22787,2897.6,
488.21332,2814.2,
514.3233,2831.9,
542.31641,5023.0,
557.32837,3252.8,
567.76392,13559.8,Ay10++[N]
568.26532,8200.2,
642.32227,5113.1,
643.36377,6175.2,
658.37738,3860.6,
673.39948,10333.4,
706.89612,3123.2,
706.97607,4550.0,
727.37573,4018.2,
736.36761,4464.8,
745.36865,8614.2,Ay13++[N]
745.86945,6282.1,
764.3714,3283.5,
764.8642,4603.7,
788.42664,13364.5,
789.62268,3136.9,
789.87799,3896.9,
790.13361,5027.4,
790.38409,4093.6,
793.87384,3383.7,
795.43274,3549.3,
802.88385,5531.3,
814.38495,3833.0,
817.07196,3345.6,
818.38812,11251.9,
818.63519,12465.3,
818.88599,15901.9,
819.13647,10302.8,
819.38727,3708.6,
824.3808,4000.9,
826.02936,3818.8,
827.0379,3984.9,
828.39374,4312.4,
829.15271,4227.9,
831.39203,14602.1,Ay15++[N]
831.89404,9759.3,
832.39447,9267.9,
835.39471,8504.2,
835.89301,5178.3,
838.89447,11499.9,
839.14581,11238.5,
839.39594,14792.5,
839.64624,10949.6,
839.89655,5861.7,
843.15082,5831.2,
843.39856,39476.7,
843.64832,53117.4,
843.89893,51115.3,
844.14996,39034.0,
844.3996,24702.5,
844.64636,4776.7,
848.66272,4070.1,
852.9679,4122.8,
853.71582,4634.4,
854.06512,3713.2,
856.6673,8536.4,
856.92114,8110.5,
859.38593,5496.0,
859.71619,6982.1,Ay20+++[pepB]
860.05328,6180.4,
863.91138,6362.6,
864.43481,4646.4,
864.96063,3820.6,
865.46008,4171.3,
866.91229,4474.7,
867.16901,9944.8,
867.41925,8330.6,
867.66772,9321.7,
868.16571,8388.1,
868.41473,27094.6,
868.66638,19430.0,
868.91669,16769.9,
869.16711,11032.1,
870.53003,7621.7,Ab8+[N]
871.42065,16962.7,
871.5271,3533.7,
871.56665,3826.8,
871.6731,43888.7,
871.92346,49307.4,
872.06598,5673.5,
872.17401,44981.4,
872.42084,13539.1,
872.67322,3566.6,
873.93036,5637.5,
877.43604,13863.1,
881.42877,8834.1,
881.68134,40652.7,
881.93164,66369.0,
882.1825,85883.6,
882.4317,43724.4,
882.68329,30626.2,
882.93109,3616.1,
885.43744,5515.6,
885.93359,7969.3,
887.40045,3948.0,
888.18256,5819.8,
888.42578,4374.9,
891.11298,7022.2,
891.42291,3524.4,
891.92969,16836.4,
892.18341,68971.9,
892.4342,55820.6,
892.68457,61083.1,
892.93463,22309.0,
893.17871,7398.7,
895.84247,8263.5,
896.17212,5888.2,
896.43555,85329.5,
896.68658,292758.3,
896.77985,26054.9,
896.93701,283203.8,
897.18787,239044.0,
897.44135,121187.3,
897.68805,21346.8,
899.92004,8981.2,Ay16++[N]
900.42291,10080.4,
900.92462,5366.7,
903.44843,3842.6,
905.06628,6563.6,
905.40601,24325.0,Ay21+++[pepB]
905.73889,13921.2,
906.07544,12134.0,
932.42059,3881.5,Ay23+++[sz]
932.76501,6225.2,Ab22+++[pepB]
933.0899,4474.4,
938.09302,6078.1,
