m/z,intensity,ions_base_sc
166.12277,16084.7,
173.40489,33101.9,
175.11903,34239.2,
180.15764,2246.6,
183.1124,2565.8,
185.16487,112659.1,
186.16835,12777.6,
194.31973,2345.1,
201.12334,6382.3,
213.15993,51060.8,
214.16316,8008.3,
217.08232,2827.0,
225.54027,2423.8,
226.15538,2914.4,
237.13376,2433.9,
244.16554,15932.7,
262.08563,10411.8,
262.10007,2939.8,
274.12149,3368.1,
283.38556,2854.5,
290.14609,56554.1,Ay2+[N]
291.14926,9407.7,
298.13953,2662.2,
307.14374,5784.3,
314.20737,8201.1,
316.15149,3371.8,
330.16602,9939.0,
347.54395,2719.5,
348.20367,2687.0,
361.1539,3446.9,
366.11057,2590.8,
405.17371,3850.0,
411.22382,7300.9,
413.203,4957.2,
418.64774,3169.9,
429.23486,18159.4,
430.23779,5556.8,
443.2511,5310.1,
514.32318,7413.9,
542.31982,9219.4,
549.2724,3081.6,
619.21393,3881.1,
636.24005,25478.1,Ay5+[N]
637.24493,10197.4,
643.05127,2753.9,
643.36536,4164.2,Bb6+[N]
644.37012,4715.0,
651.28387,5083.5,
672.81177,3847.3,
705.1405,2932.5,
732.30157,2695.4,
740.41187,2929.2,
746.09772,3684.5,
765.28229,8944.4,
776.69263,3619.0,
828.36761,3230.6,
836.38239,4138.8,
836.71411,7576.9,
837.0415,7278.6,
860.40863,3754.9,
868.4024,9944.6,
868.73853,5268.4,
874.07385,8074.2,
874.4046,19356.8,
874.73804,17583.9,
875.07111,11611.8,
875.40979,5109.5,
878.36542,6514.6,Ay7+[N]
879.37787,3513.4,
887.10034,3415.9,
895.69659,3173.1,
898.41473,3047.3,
906.74237,5856.7,
912.74597,12434.0,
913.07794,9895.5,
913.41168,8072.1,
913.74683,7677.0,
930.09442,6485.6,
930.43201,4302.9,
931.43231,4114.1,
934.56006,4558.1,
937.09619,5320.5,
937.43549,4917.3,
940.10565,3045.1,
940.42645,14945.1,
940.75891,20300.0,
941.0957,12414.3,
941.43274,4687.0,By6+++[pepA]
941.76416,8877.3,
942.42261,5227.8,
943.97479,3575.2,
946.09595,17885.2,
946.42908,90956.0,
946.763,88469.5,
947.0968,60483.2,
947.43066,33533.6,
947.76068,7036.3,
949.44098,3466.9,
952.57434,3544.1,
953.96576,3290.7,
959.44885,4243.9,
963.80121,3394.7,
964.44397,5147.6,
968.10547,3448.5,
969.5647,3546.6,
970.4455,3655.9,
972.47211,3174.8,
973.44678,11855.0,
974.11487,6500.9,
978.44617,5267.7,
979.45239,32622.8,
979.78577,30142.1,
980.11902,23085.2,
980.45233,19724.8,
980.8006,4195.2,
980.90643,13169.2,
981.90393,5783.5,
982.41083,4521.6,
982.77533,3916.2,
983.12317,4477.4,
983.789,10079.3,Ay16+++[pepB]
984.12415,10491.5,
984.45685,7753.7,
987.12976,4894.5,
987.46497,6531.9,
989.45978,4497.4,
991.45374,13283.0,Ay8+[N]
992.45221,5656.1,
993.45264,3747.7,
1000.11816,5105.6,
1002.13379,6044.1,
1002.46289,8383.6,
1002.80573,8537.3,
1005.13696,4645.8,
1005.46991,12749.3,
1006.13629,9177.4,
1007.81018,7621.3,
1008.14539,6185.3,
1008.48132,9479.2,
1010.79529,7083.4,
1011.13818,45716.6,
1011.47412,53651.6,
1011.80688,33847.6,
1012.14288,22556.0,
1016.80542,46613.5,
1017.14288,293390.0,
1017.47644,265411.0,
1017.81158,198819.7,
1018.03247,5192.8,
1018.14667,101321.9,
1018.48291,19808.5,
1024.98401,4599.2,
1029.48975,5750.3,Ab9++[pepB]
1029.99109,5513.3,
1030.49292,6063.5,
1031.495,5199.9,
1040.42468,4746.4,
1041.42688,3979.6,
1048.93311,16328.4,
1049.43469,47137.8,
1049.93469,19197.0,
1050.43616,14165.4,
1076.99414,4669.6,
1082.51514,4100.2,
1086.53394,4190.2,
1087.03113,3612.6,
1089.62292,4445.9,
1091.49231,4056.4,
1098.4679,14893.7,
1098.97046,20558.7,
1099.47046,21473.3,
1099.97253,5465.4,
1131.99353,4472.7,
1132.49316,9280.9,
1137.53101,6009.6,
1138.52002,4473.9,
1163.49988,15485.5,Ay10+[N]
1164.50659,9843.2,
1165.49841,4799.7,
1168.5481,3962.9,
1181.52991,7628.0,
1182.03247,7822.1,
1182.52844,4989.5,
1195.03284,5186.5,
1203.5343,12985.9,
1204.03467,45747.9,
1204.53564,36726.5,
1205.03613,19065.2,
1205.53467,9121.8,
1207.59619,10014.7,
1208.10071,10135.4,
1225.03906,3859.1,
1241.54626,5820.4,
1245.55396,14157.2,
1246.05249,9447.7,
1246.54797,5695.8,
1251.56665,6197.8,
1254.05823,24851.3,
1254.5592,77376.0,
1255.0603,67082.6,
1255.56018,39863.5,
1256.06165,15056.8,
1275.58276,6487.4,
1300.09705,3672.1,
1300.55969,7033.1,Ay11+[N]
1301.57751,5393.3,
1302.58069,7228.0,
1303.60986,4537.5,
1308.57983,4063.3,
1310.09094,4202.5,
1310.60022,14198.8,
1311.10071,47899.6,
1311.60107,36584.0,
1312.10193,21730.8,
1312.60315,8892.6,
1315.57544,5777.4,
1320.63354,8883.3,
1321.64282,8093.1,
1332.09644,4278.1,
1342.10022,7688.9,
1344.6073,11320.0,
1345.10608,13128.0,
1345.60291,8494.3,
1359.13013,5262.6,
1359.62329,5941.7,
1360.10669,6262.2,
1360.60535,4658.7,
1368.11438,14177.1,
1368.61389,51211.9,
1369.1134,48814.3,
1369.61694,31824.7,
1370.11658,16635.9,
1372.12842,11058.3,
1372.63452,9760.0,
1373.63037,7559.4,
1374.13196,5570.7,
1377.63721,5617.0,
1380.64514,18402.6,
1381.1438,27303.0,
1381.65027,9027.1,
1382.13953,11334.7,
1389.62744,6147.6,
1391.63196,7866.2,
1394.64575,10637.8,
1397.62866,7753.3,
1403.12317,7541.7,
1405.66492,6185.6,
1410.13159,14035.6,
1410.63318,18530.5,
1411.13416,17618.0,
1411.6322,8815.8,
1418.63599,27277.0,
1419.13892,181727.7,
1419.64001,181900.9,
1420.14026,109469.9,
1420.64075,56819.0,
1421.13916,9463.6,
1438.15857,6594.2,
1438.66443,7620.7,
1439.16345,4341.2,
1468.67249,8945.1,
1469.17029,8334.8,
