m/z,intensity,ions_base_sc
161.09343,2599.3,
166.12303,12735.9,
173.4034,26376.0,
185.16508,174178.7,
186.1685,19187.4,
201.12375,3894.6,
207.2775,2424.1,
213.16,53168.4,Ab2+[N]
214.16336,7404.8,
218.15025,10960.7,
237.13524,4079.9,
242.59264,2419.2,
244.16583,2573.6,
253.98262,2557.9,
288.83401,3949.4,
290.43442,2530.3,
314.20773,8884.9,
330.16602,3762.3,
331.23444,25921.9,
332.23663,3033.3,
337.20349,3342.9,
340.18793,2880.2,
394.71646,12652.5,
395.2179,4192.5,
429.23471,6014.8,
431.21725,3184.6,
439.02029,2899.1,
522.29327,3246.4,
542.31976,5519.6,
567.76343,4387.2,
619.86285,2995.6,
623.34058,12662.0,
624.52216,2697.9,
639.3736,3334.2,
641.35162,5980.1,
662.80225,8245.6,
673.39984,7561.3,
674.40167,3609.3,
739.80817,3002.0,
740.41895,9287.5,
741.42163,4094.8,
752.09912,3520.6,
752.35767,4916.9,
780.37561,3768.2,
780.62854,8395.0,
780.87604,12714.8,
781.12915,7692.1,
788.42627,9698.2,
802.88477,3528.7,
805.1297,5841.1,
806.38983,2965.9,
809.13507,4025.2,
809.63239,17854.3,
809.88092,6545.0,
810.13239,9030.5,
813.7276,3338.9,
820.37598,4730.1,
821.36859,2924.5,
823.88727,2992.6,
830.14294,13134.7,
830.38843,6532.9,
830.64197,9525.0,
830.89221,3825.3,
831.14417,4389.0,
831.90326,5859.7,
834.39294,33053.3,
834.64465,44708.1,
834.89514,60065.9,
835.14532,40486.1,
835.39417,35433.7,
835.4895,4364.6,
835.64526,6705.0,
854.17273,11466.2,
854.41028,4062.6,
854.66931,7845.1,
854.90649,9364.5,
855.15112,3853.1,
855.40558,5979.9,
855.65918,7522.2,
857.9776,4614.0,
858.41632,3618.9,
859.15771,11084.0,
859.41077,11960.2,
859.66321,17883.7,
859.91394,7388.2,
860.05634,3804.8,
860.16504,7518.5,
860.40619,4906.9,
862.67145,6266.2,
862.91919,6507.8,
863.41919,4497.2,
865.4165,4190.5,
865.71863,9777.7,
865.91071,3457.8,
866.05341,15436.9,
866.39478,10100.7,
866.72302,6156.7,
876.67505,4286.3,
878.15637,3626.4,
878.94147,6328.9,
879.17456,4894.8,
880.42725,3199.8,
882.92896,33865.5,
883.18097,23092.8,
883.43085,52883.4,
883.68018,41092.0,
883.93243,18429.3,
884.18347,9560.5,
886.42841,4120.2,
887.1662,5521.0,
887.42834,45092.1,
887.56714,18752.2,
887.68274,78212.5,
887.93292,109951.3,
888.08441,5683.6,
888.18402,64567.4,
888.43463,59269.3,
888.68292,13517.5,
888.8291,13166.9,
888.93469,4277.8,
893.06921,3471.7,Ay16+++[pepB]
893.39954,4699.8,
898.74225,12995.3,
899.07544,12846.9,
899.40808,14554.4,
899.74506,8789.9,
930.42395,5116.0,
963.4549,3801.9,
964.11731,4893.0,
968.77789,4530.1,
969.11847,15303.1,
969.45178,19509.3,
969.78906,14329.6,
970.1236,7854.5,
970.45496,5492.9,
970.7901,3749.9,
974.48346,4685.7,
975.46466,3916.9,
996.46234,4335.6,
996.79047,8125.0,
997.1239,8170.1,
997.47675,4899.1,
997.80145,7532.0,
1001.81171,4394.0,
1002.1167,10269.6,
1002.46234,39109.7,Ay19+++[pepB]
1002.79877,30017.1,
1003.1322,41143.3,
1003.46533,18841.4,
1003.80273,12219.1,
1008.47375,5106.5,
1008.79755,4748.0,
1009.14276,4731.4,
1018.13116,4177.7,
1024.47754,5805.2,
1029.80103,3889.3,
1030.14172,5165.2,
1034.14941,4811.5,
1034.48303,8968.4,
1035.16272,4929.4,Bb1+++[pepA]
1035.48572,6951.0,
1035.80737,6249.3,
1036.14075,7495.0,
1036.48779,7849.5,
1039.80115,7436.3,
1040.15942,20920.4,Ay20+++[pepB]
1040.49304,37525.9,
1040.82886,30840.9,
1041.16089,23189.2,
1041.49731,18164.4,
1045.83057,4446.5,
1046.83142,7337.8,
1049.17322,4849.3,
1051.48438,4471.1,
1054.15503,3957.1,
1055.49023,5449.8,
1057.50293,5821.1,
1057.83936,3769.3,
1060.15198,4076.2,
1063.4845,8546.1,
1063.82251,18955.3,
1064.15662,29025.7,
1064.49243,17662.4,
1064.82715,7300.0,
1066.81921,6474.2,
1067.49365,13722.0,
1069.49487,7632.1,
1069.82166,12664.7,
1070.16052,14890.0,
1070.50024,8851.8,
1072.83374,16454.3,
1073.16589,28294.9,
1073.49829,25488.7,
1073.83459,18024.2,
1074.16553,12100.2,
1074.49548,7810.7,
1074.82825,9578.7,
1075.16797,5531.7,
1075.83545,8632.8,
1076.51233,5667.6,
1078.50562,34686.4,Ay21+++[pepB]
1078.83972,65218.8,
1079.17444,73581.6,
1079.50757,62523.3,
1079.84094,37815.2,
1080.17346,10926.8,
1081.83862,5178.2,
1082.17957,14466.3,
1082.51648,16485.2,
1082.85059,5298.2,
1087.84082,8239.3,
1088.51013,10629.7,
1092.505,8182.3,
1092.85217,5268.5,
1096.49976,6090.8,
1096.82275,4886.0,
1097.17639,6479.4,
1097.51807,8472.3,
1097.8468,10408.3,
1098.18384,12100.7,
1098.51257,9214.6,
1098.85242,5069.8,
1100.52808,3829.0,
1100.84387,7526.2,
1101.17761,7045.5,
1101.51257,6118.6,
1101.85071,7106.5,
1102.52905,5248.3,
1102.85034,5567.9,
1103.17981,7362.8,
1103.52625,11202.4,
1103.85706,5186.5,
1106.18567,24225.2,
1106.51855,52592.5,
1106.85229,66636.0,
1107.18445,47080.6,
1107.52002,37466.9,
1107.85242,16172.0,
1110.53052,6511.3,Bb3+++[pepA]
1110.86731,5854.5,
1111.20056,8438.8,
1111.52185,7116.2,
1111.88135,4905.3,
1112.18774,195507.9,Ay22+++[pepB]
1112.52258,320169.0,
1112.85657,455142.9,
1113.19031,259544.8,
1113.52417,184130.0,
1113.85706,64012.9,
1114.19373,7464.1,
1116.18506,4898.7,
1116.85254,4322.1,
1128.53882,7499.2,
1129.20166,6481.2,
1134.2052,7940.9,
1134.52832,15537.4,
1134.87195,13343.7,
1135.20752,11730.2,
1135.52942,19620.6,
1135.87158,3797.8,
1139.54346,6467.2,
1139.87732,11770.1,
1140.20178,7125.7,
1140.53918,11208.0,
1141.53564,4173.0,
1145.20972,17505.9,Ay23+++[pepB]
1145.54456,29879.5,
1145.87915,49042.7,
1146.21252,29411.5,
1146.54468,15175.9,
1146.87585,7794.5,
1225.52515,5725.9,
1229.54944,7895.6,
1230.04089,18679.1,
1230.54236,8829.2,
1231.03796,5717.7,
1274.07654,4256.1,
1274.56201,4931.8,
1275.06567,5168.3,
1275.56421,4654.4,
1289.56042,4065.5,
1290.56738,6681.6,
1298.07031,22940.9,
1298.57495,23819.7,
1299.07483,25203.0,
1299.57703,15106.3,
1300.07837,12121.6,
1300.58105,3949.2,
1322.65356,4230.0,
1323.07727,4226.7,
1331.57703,4908.9,
1332.08826,4580.7,
1332.58459,4172.6,
1339.10352,7475.2,
1339.6167,7358.0,
1347.60486,8981.5,
1348.10217,14574.9,
1348.60669,18189.6,
1349.11621,12798.4,
1349.61682,4048.5,
1380.13855,6982.5,
1380.6427,5748.0,
1381.12708,3914.8,
1381.64075,5559.0,
1446.66248,4226.0,
1453.15588,4224.7,
1502.66455,9744.0,
1503.17236,15007.9,Ay19++[pepB]
1503.67273,18872.5,
1504.17822,11808.6,
1504.67688,7610.9,
1560.21008,5330.0,
1560.70959,5515.1,
1561.20703,4299.7,
1595.73486,10014.1,
1596.22717,8589.8,
