m/z,intensity,ions_base_sc
166.06108,3998.6,
166.12306,6094.8,
173.40787,24233.4,
175.1187,6831.7,
218.15005,15071.0,
220.10774,5721.7,
237.13467,25161.1,Ab2+[N]
238.13725,2801.1,
246.15611,5322.3,
282.11969,6870.0,
331.23389,28500.5,Ay3+[N]
332.23898,4176.4,
337.20279,15872.9,
394.71674,11178.2,Ay7++[N]
395.21796,8168.7,
395.26389,2616.1,
401.19217,3956.9,
432.25613,10784.8,
447.27127,24245.5,Ab3+[sz]
448.27524,3778.5,
517.29669,3209.2,
542.31927,178782.4,By10++[sc];By0++[sc]
542.8208,106520.8,
543.32141,22660.6,
543.82104,5109.1,
567.76501,10750.5,Ay10++[N]
568.26508,9322.3,
568.76953,5139.8,
589.21948,3930.1,
618.33545,13528.8,
632.78717,3770.1,
642.31909,3299.8,
673.39783,7933.5,
681.31689,3771.6,
689.37225,14304.7,
690.37439,4041.8,
745.36835,9759.0,Ay13++[N]
745.86945,4056.6,
746.37762,6022.8,
763.37543,10949.5,Ab9+++[pepB]
763.70825,17115.8,
764.04169,8057.6,
764.37476,6322.6,
768.42236,3037.4,
782.8822,2864.4,
788.42615,9518.1,
791.73578,3505.0,
792.06976,6533.4,
794.3689,3115.2,
794.93646,4116.1,
801.0697,7841.8,
801.40283,17485.4,
801.73773,8286.6,
802.07159,7359.3,
807.00647,4066.6,
829.97345,9649.9,Ab4++[pepB]
830.47168,5819.9,
830.97113,4157.0,
831.39197,8502.4,Ay15++[N]
831.89429,2974.3,
832.3963,3661.9,
837.4953,3754.3,
838.76147,6530.1,
839.09863,13838.4,
839.44244,9800.2,
839.76367,5024.4,
843.99854,3579.5,
845.50873,4073.4,
846.01056,3777.3,
851.50977,3954.5,
852.00427,9588.5,
852.50458,6114.9,
860.51825,11660.9,
861.01788,12910.6,
861.51953,8373.1,
862.40106,6418.5,
863.15704,5531.0,
863.40991,3406.2,
875.25977,3337.8,
878.43567,3937.3,
878.52686,4350.5,
879.02594,5897.2,
879.53302,4365.8,
881.77832,8044.7,Ab12+++[pepB]
882.11218,9513.1,
882.44708,9026.8,
882.77783,5052.9,
885.93396,12917.2,
886.18091,42248.4,
886.43097,26013.0,
886.68292,21109.7,
886.93201,6794.6,
887.53296,4654.2,
890.92816,7277.1,
891.17969,7806.4,
891.42859,10822.9,
893.07434,3529.0,
894.65436,3277.5,
898.09882,16123.2,
898.742,9936.3,Ay22+++[sz];Ay0+++[sz]
898.93188,3341.9,
899.07172,9354.8,
899.18109,8575.7,
899.41656,17692.6,
899.67786,5671.0,
899.92688,5558.2,Ay16++[N]
900.42181,5115.7,
901.69031,3596.7,
903.45764,5509.4,Ay8+[N]
904.18573,3963.7,
904.4541,3600.4,
905.11493,5694.3,
905.45715,4461.5,
907.4126,4324.5,
908.43237,7080.4,
