m/z,intensity,ions_base_sc
160.75168,2905.5,
173.40837,10373.3,
175.11868,3421.6,
185.16495,213628.4,
186.16827,17925.1,
200.13957,7561.2,
201.12358,6600.3,
213.15987,97718.7,Bb2+[N]
214.16299,9633.3,
217.08203,7207.2,
218.15004,31051.3,
226.11897,8554.0,
230.1497,6057.3,
233.4749,2460.9,
236.16072,2548.3,
237.13472,4255.1,
296.19827,3624.9,
296.93622,2885.1,
314.20782,15694.9,Bb3+[N]
315.21085,2743.5,
316.15115,6333.5,
325.1875,7160.5,
326.18997,4188.3,
330.16614,15782.8,
331.23428,67167.4,Ay3+[N]
332.23724,12611.4,
334.69989,2887.7,
337.20343,30042.0,Ay6++[N]
337.70523,7910.3,
338.79236,3287.5,
343.17273,3607.7,
394.71677,65480.1,Ay7++[N]
395.21799,23457.6,
395.71973,7496.3,
401.24109,3293.5,
411.22314,7257.6,
413.20328,5950.2,
429.23462,29146.0,Bb4+[N]
430.23798,5484.5,
431.21301,10784.9,
443.24844,10364.2,
444.25272,2892.4,
446.26352,3689.3,
452.23267,2936.0,
456.25598,2977.1,
458.19977,8973.8,
482.2598,3086.0,
483.26553,4039.1,
514.32422,10948.9,
517.29523,4227.8,
530.28058,3164.8,
542.31763,11839.8,Bb5+[N]
543.32208,4765.1,
567.76428,27226.7,Ay10++[N]
568.26422,8605.8,
568.76471,6935.3,
573.50354,3185.0,
588.13153,3373.8,
600.2818,7317.5,Ay16+++[N]
600.61688,7547.3,
618.37482,4370.4,Ab3++[pepB]
618.87012,3044.5,
625.35565,6305.7,
632.28503,6116.7,Ay11++[N]
632.78864,7033.8,
634.39227,11178.9,
640.36829,7349.8,
642.32062,9129.1,
643.36578,14073.4,
654.29706,7280.0,
658.37823,13351.2,
659.32141,4370.1,
659.3783,3402.8,
660.32617,5065.3,
665.32202,6160.2,Ab9+++[pepB]
665.65735,3756.4,
665.99316,4341.0,
673.39777,16427.0,Ay6+[N]
673.89148,4381.4,
674.40125,6278.9,
682.89459,5409.5,Ab4++[pepB]
683.39587,5814.7,
688.82556,5460.5,
689.82507,3340.4,
694.01031,3673.5,
703.01038,4515.6,Ab10+++[pepB]
703.34955,7152.1,
703.68585,5203.9,
706.97089,10295.1,Ay18+++[N]
707.3053,6052.9,
707.97144,6098.8,
733.83832,3053.5,
733.90863,3262.4,
736.09467,6194.4,
736.33423,5249.4,
736.6004,3426.2,
736.84717,3687.6,
739.85175,5985.2,
741.37689,3356.2,
745.36987,24553.3,Ay13++[N]
745.87085,23957.7,
746.37402,9676.2,
746.87445,4977.9,
749.41028,5184.2,
749.98755,4919.8,Ay19+++[N]
750.31866,7149.3,Ab18+++[sz]
750.65161,6593.3,
750.9884,5409.6,
756.91876,5853.7,
757.41974,35139.1,
757.91956,50477.9,
758.42206,23213.1,
758.92114,5825.2,
760.10999,4162.5,
764.36603,12560.9,
764.61584,18682.4,
764.86957,10132.3,
765.1181,12083.0,
765.3653,6387.4,
767.44208,3994.9,
768.61096,7426.1,
771.45764,5057.6,
771.86108,3160.4,
781.74493,3103.6,
782.36975,5183.2,
782.85956,3783.5,
783.86792,3995.8,
784.05615,6322.9,
784.38116,8525.6,
785.1145,4031.6,
788.42535,25843.0,Ay7+[N]
789.12073,5093.3,
789.35992,5469.5,
789.43292,6627.2,
789.62366,4426.4,
791.87921,7611.2,
793.01599,5490.6,
793.12036,7184.8,
793.36859,18585.0,
793.62219,28220.5,
793.87354,35590.2,
794.12396,31200.3,
794.37573,12821.2,
794.62396,5328.6,
795.43414,9912.2,
802.88666,8217.1,Ay14++[N]
803.38574,4999.2,
803.88428,5128.9,
804.29419,5512.2,
805.37744,4231.2,
805.87933,7699.4,
806.38025,6131.9,
807.45691,4407.1,
807.87372,4047.2,
807.95667,4361.1,
809.62793,5470.4,
810.13416,3768.0,
813.88391,15982.0,
814.13263,20525.2,
814.38062,26834.9,
814.63397,18661.2,
814.88477,8156.2,
815.13599,4130.5,
816.14246,3778.8,
817.63422,3310.8,
818.14136,4292.8,
818.3858,61788.8,
818.63647,118885.2,
818.88666,157830.2,
819.13623,92060.9,
819.38715,57511.2,
819.6355,18261.9,
820.36255,3983.3,
820.70099,5808.3,
822.42157,4338.2,
823.90845,6586.1,
826.03583,13361.0,
826.36737,22008.7,Ab20+++[sz]
826.70148,11344.0,
827.03802,7007.5,
827.36829,5262.2,
831.39429,36233.3,Ay15++[N]
831.89502,33944.6,
832.3941,18190.4,
832.89545,7440.0,
833.40521,3451.5,
834.89569,3621.3,
837.39679,3673.9,
838.16162,3301.8,
838.37128,9511.4,Ay21+++[sc]
838.70929,12287.7,
838.89771,6204.5,
839.03949,10219.3,
839.15259,14521.7,
839.375,13279.9,
839.65253,8997.0,
839.90112,5002.1,
841.3858,3627.1,
842.15369,9961.2,
842.40662,13142.8,
842.65668,8777.3,
842.91052,12465.2,
843.15253,30094.6,
843.40448,45046.1,
843.65295,54631.9,
843.90411,38256.4,
844.15454,27326.3,
844.41089,8468.2,
844.67279,8208.8,
845.17822,3108.4,
845.65582,4656.8,
846.14697,4732.5,
846.40997,62163.4,
846.66101,90799.7,
846.91119,139657.6,
847.16187,86561.2,
847.41211,50590.5,
847.66071,13331.2,
848.67517,5567.5,
849.16864,5188.0,
849.41864,6092.0,
852.51453,7592.1,
853.41956,6019.4,
856.41748,4356.4,
856.90894,5104.0,
857.16797,6299.8,
857.42004,4592.9,
857.6792,3780.9,
857.92206,4642.2,
860.4187,4247.8,
860.66803,6344.0,
860.91998,9994.3,
861.41449,9743.0,
862.42554,6882.1,
862.66663,5717.2,
862.91962,18429.6,
863.16272,10273.1,
863.42554,16781.3,
863.67053,6248.0,
865.71472,6770.8,Ay21+++[sz]
866.05042,5978.2,
866.71619,5254.8,
866.92053,52358.6,
867.1709,91293.9,
867.42181,167666.0,
867.67194,96178.6,
867.92212,77324.3,
868.17157,35242.0,
868.42084,4991.6,
868.67078,4512.5,
870.52911,19432.7,
870.92664,2601.6,
871.0011,36445.3,
871.42242,320281.9,
871.50616,78041.0,
871.67395,396832.3,
871.92383,765089.6,
871.99866,44566.2,
872.1748,484844.8,
872.42511,342995.8,
872.67706,84956.2,
872.92719,18928.4,
873.05658,10570.9,
882.3985,4461.3,
891.40155,14906.7,
891.90265,9316.0,
892.40485,8665.8,
899.07379,5061.7,Ab15+++[pepB]
899.40649,8314.1,
899.92133,22772.5,Ay16++[N]
900.4259,19161.1,
900.92773,4540.3,
901.42548,5090.3,
903.45306,14797.3,Ay8+[N]
904.44629,8152.1,
904.74353,19239.6,
905.07635,26600.6,
905.41187,37075.3,
905.74664,12894.6,
906.08069,13454.3,
909.08008,4313.5,
909.74994,4598.5,
911.45398,13252.3,Ab7++[pepB]
911.95209,6714.9,
912.45282,9868.4,
914.75366,6036.7,
933.08704,4434.8,
933.33185,4704.5,
938.76459,4342.5,
940.45569,7208.8,
941.42828,4904.9,
942.10437,11525.4,
942.44135,4345.5,
947.44012,23600.6,
947.77203,41671.8,
947.94733,9755.1,
948.1084,49986.7,
948.44318,43252.5,
948.77466,15806.8,
948.95251,5406.0,
949.453,4853.9,
954.45551,5612.4,
970.11017,4739.8,
970.45001,9282.0,
974.48993,11647.8,
975.10944,11757.2,
975.45905,16524.2,
975.78583,18413.5,
976.1214,17324.8,
976.45593,5957.1,
979.94177,13652.3,Ay17++[N]
980.43866,11464.7,
980.77014,12127.1,
980.94312,4266.9,
981.1192,56285.8,By2+++[pepA]
981.4549,72551.7,
981.79083,85625.7,
982.12476,45412.5,
982.45721,24293.8,
982.79608,7370.8,
985.46924,7091.7,
985.79669,8886.0,
986.13483,9673.9,
986.46918,4955.1,
988.9765,6352.2,
997.47516,18085.6,Ab9++[pepB]
997.97845,14805.3,
998.47772,12820.7,
998.97717,4964.5,
1001.56927,12249.0,
1002.57574,5084.4,
1004.48749,14858.8,
1004.98602,7466.9,
1005.48883,8490.5,
1007.58911,13812.9,
1008.46704,5768.9,
1008.59082,11181.3,
1009.1239,6404.1,
1009.45831,8295.3,
1012.80963,11015.8,
1013.14355,15973.8,Ab18+++[pepB]
1013.47772,7116.1,
1013.81018,14892.7,
1014.1369,4695.4,
1014.47058,6315.1,
1014.79688,5289.2,
1018.138,4922.9,
1018.47003,20897.5,
1018.80865,44899.8,By3+++[pepA]
1019.14789,60831.0,
1019.48438,63506.8,
1019.8186,33506.9,
1020.15308,20125.4,
1023.57727,6373.2,
1024.14514,11625.2,
1024.4751,12950.9,
1024.59717,6217.8,
1025.13806,5017.0,
1033.78308,3998.8,
1036.81238,5867.8,
1042.14404,13079.8,
1042.47876,20736.6,
1042.81116,28215.8,
1043.14722,15802.3,
1043.48169,14961.7,
1043.81152,4827.7,
1045.49048,8827.7,
1045.81702,21575.9,
1046.14929,26408.8,
1046.48828,14385.7,
1046.82434,10718.2,
1047.151,4531.4,
1048.48462,6070.2,
1048.81409,7982.8,
1049.15576,6424.1,
1049.47864,5154.2,
1051.15515,10468.5,
1051.48584,44489.4,Ab19+++[pepB]
1051.82043,73814.4,
1051.948,5923.8,
1052.15417,118084.0,
1052.48755,56743.1,
1052.82251,42646.7,
1053.1554,11053.7,
1054.01599,4803.5,
1054.52026,9652.0,
1055.02258,4752.6,
1055.5116,9334.6,
1056.16882,5592.1,
1056.50269,5417.4,
1057.16174,28097.9,
1057.49365,70254.3,
1057.828,110802.1,
1058.16211,96697.1,
1058.49561,60994.6,
1058.82935,28483.6,
1059.16858,8491.2,
1059.9552,20638.1,Ay18++[N]
1060.45337,11765.3,
1060.95337,19307.3,
1061.1698,7628.4,
1061.45471,5733.6,
1061.96387,7144.9,
1069.00439,11050.6,
1069.50317,13903.3,
1070.00525,6854.4,
1070.50562,8867.5,
1074.83313,4784.2,
1075.4967,4794.5,
1075.83667,4984.7,
1076.16663,9448.4,
1076.83948,7756.8,
1077.17236,7655.4,
1079.16699,5244.4,
1079.50134,19612.5,
1079.8396,24430.3,
1080.17493,26579.8,
1080.51123,9622.0,
1080.84863,6395.1,
1081.49548,4176.0,
1083.5144,5860.6,
1083.84033,7222.0,
1084.51733,5149.8,
1084.84131,39160.9,
1085.17468,60039.5,
1085.50745,80748.5,
1085.84155,50934.6,
1086.17603,31888.0,
1086.50537,9430.8,
1089.18213,16581.6,Ab20+++[pepB]
1089.51404,27980.5,
1089.84863,52507.2,
1090.18103,22968.9,
1090.51526,29194.4,
1090.84326,177479.1,By5+++[pepA]
1091.1781,270314.3,
1091.51135,348003.3,
1091.8457,220302.4,
1092.17981,146995.4,
1092.51245,37017.8,
1092.84045,5546.2,
1098.19824,4559.1,
1104.19568,8361.6,
1104.52258,4972.3,
1107.18933,13992.8,
1107.52563,12710.5,
1107.85657,12093.5,
1108.1853,6010.8,
1110.55713,5722.6,Ab11++[pepB]
1111.06018,8115.1,
1112.85852,44115.6,Ab21+++[pepB];Bb6+++[pepA]
1113.19421,53767.5,
1113.52747,88531.5,
1113.86194,53067.5,
1114.19482,37747.3,
1114.52393,9907.8,
1115.97168,13078.9,
1116.48657,5841.1,
1117.47168,7791.5,
1118.53052,7411.8,
1118.86475,13411.5,
1119.1969,11162.1,
1119.5282,14348.7,
1119.8645,9094.1,
1123.86816,17206.3,By6+++[pepA]
1124.19763,17141.3,
1124.50854,16446.8,
1124.8595,14392.8,
1124.97803,24074.8,Ab18++[sz]
1125.20435,7675.8,
1125.47644,20758.5,
1125.97522,11392.5,
1126.4668,5455.6,
1134.51831,32006.0,Ay10+[N]
1135.51501,19216.0,
1136.52698,5889.4,
1141.96887,5805.4,
1142.46716,5144.3,
1143.4707,4804.6,
1153.63025,5406.0,
1159.50732,8428.5,
1175.07971,11188.0,Ab12++[pepB]
1175.5802,16162.4,
1176.08325,10314.1,
1176.58252,7440.7,
1188.51465,6338.6,
1188.65125,5109.7,
1189.51819,4614.8,
1189.64954,13810.9,
1190.65149,11812.3,
1192.02271,8427.0,
1192.52136,5894.5,
1193.01404,7380.0,
1229.66309,5899.8,
1230.53833,5542.0,
1235.02466,6342.0,
1235.74451,6217.2,Ab3+[pepB]
1236.75,4763.7,
1238.54749,18264.4,
