m/z,intensity,ions_base_sc
158.09253,6020.1,
166.12253,13279.4,
169.13348,7875.3,
173.12871,6151.2,
175.11896,76489.9,
189.08687,6879.6,
197.12813,5340.7,
206.47192,4840.5,
206.78181,5821.7,
217.08209,7832.1,
221.89503,4315.1,
222.12335,6317.6,
223.15565,7705.5,
232.15874,4453.8,
240.13487,13426.2,
241.33974,4747.0,
246.12706,14787.4,
249.28543,5194.4,
251.15057,11536.5,
257.095,24005.7,
258.14505,48043.0,
260.10635,11748.4,
274.12204,163519.1,Ab2+[N]
275.12521,17493.9,
276.1557,38461.4,
282.18109,54973.6,
283.18472,7424.8,
284.16101,12281.9,
302.0802,9763.6,
304.1619,12044.6,
344.15591,7502.5,
345.1763,8233.3,
361.18323,69591.8,
362.18509,11316.6,
363.18738,220176.0,Ay3+[N]
364.19067,37343.8,
369.15982,21930.3,
373.19043,178438.1,Ab3+[N]
374.19376,27196.8,
385.21014,7262.8,
387.16962,23734.3,
397.15356,18183.2,
413.20288,14372.0,
415.16409,20177.9,
423.72757,5873.8,
431.21399,6130.6,
458.27972,12967.2,
462.04965,5450.4,
462.25461,15409.5,
465.22864,9845.3,
472.18851,5775.1,
480.26697,5870.0,
486.2735,33494.0,
491.22192,12647.5,
496.24356,5371.0,
508.25174,86398.0,
509.25531,19146.7,
524.28497,5976.9,
538.24078,5631.4,
541.29614,18824.4,
559.30865,248365.0,Ay5+[N]
560.31152,64509.2,
561.31213,7682.3,
578.31213,8635.5,
595.33917,55783.3,
596.34406,11111.4,
616.33276,7904.0,
621.80078,9762.8,
622.29456,10243.6,
622.79895,8568.0,
623.33344,85937.6,Ab5+[N]
624.33649,24566.2,
625.33466,6588.7,
630.29907,6072.7,
630.80579,1012995.6,
631.30695,684985.0,
631.80792,268602.7,
632.30731,53023.5,
642.34637,8277.0,
660.25079,5329.0,
660.35638,104067.3,Ay6+[N]
661.35889,34610.9,
716.91809,4932.3,
718.38831,12745.3,
719.38623,7328.5,
724.38684,9700.3,
725.36945,6586.9,
752.37878,24887.3,Ab6+[N]
753.36194,20407.8,
754.36322,7611.7,
769.39374,8257.2,
770.41638,15010.3,Ay13++[sc];Ay0++[sc]
770.91547,12155.1,
772.38934,6983.6,
