m/z,intensity,ions_base_sc
136.07587,3934.6,
137.95969,2199.5,
147.11275,61727.7,
163.66887,2005.5,
166.12254,18546.4,
173.40189,21322.5,
175.10837,2352.4,
175.11903,4563.5,
182.11726,4362.9,
184.13326,32299.2,
185.13689,4376.9,
185.16504,4923.2,
197.16432,4879.9,
199.17987,2404.7,
199.34729,2413.2,
200.1393,11074.4,
211.1442,2415.7,
212.10292,11720.0,
215.64174,2459.0,
223.15533,52855.0,
224.15865,6338.3,
224.1758,5951.4,
225.16016,9394.1,
226.11845,32153.8,
227.12236,3152.8,
227.17461,2963.4,
228.13464,5650.7,
229.15469,18609.2,
231.12373,15875.8,
239.13893,12885.8,
242.18637,32975.4,
243.10933,4956.9,
243.18935,4290.7,
251.15025,101261.4,Ab2+[sc]
252.15382,14752.3,
257.14954,118478.9,
258.15274,13200.3,
260.1969,62132.1,Ay2+[N];By2+[sc];By0+[sc]
261.19977,5748.1,
266.16089,10012.2,
266.17587,3366.2,
269.16068,3950.0,
279.1445,2859.1,
283.14438,2977.4,
289.16248,6187.0,
307.20172,23053.1,
308.2045,3932.9,
312.16818,3054.5,
313.15048,10279.6,
323.13324,5959.1,
324.22812,29510.9,
325.21222,35019.4,
325.23169,5199.3,
326.17221,2553.9,
326.21515,7295.5,
332.20816,24283.7,
332.3378,2638.0,
333.20953,3836.2,
340.16144,59543.8,
340.18372,4608.3,
341.14252,2937.0,
341.16455,10293.5,
341.21848,5870.9,
342.23877,76608.2,By2+[sz];By0+[sz]
343.24234,13094.2,
344.20816,4007.9,
348.20245,8314.0,
350.21875,26605.3,Ab3+[sc]
351.22092,6304.4,
354.68646,2590.6,
357.21231,4063.8,
360.15826,2584.4,
361.23483,26110.8,
362.23798,4093.5,
366.21329,13467.4,
372.22406,4730.3,
373.2814,26698.5,Ay3+[N]
374.28442,7554.0,
376.19864,6843.9,
378.21286,3054.8,
379.24515,32340.2,
380.24796,6577.4,
388.23062,4397.0,
389.22986,3671.0,
394.20862,26283.5,
395.21246,5333.8,
406.17279,3053.3,
407.23932,8380.4,
410.20251,4569.1,
411.20801,3198.9,
411.26041,12018.8,
425.25153,6777.2,
429.27155,3782.1,
430.18872,4962.6,
435.30792,14533.2,
436.21744,3845.9,
443.27692,12466.4,
448.19806,15296.6,
451.19266,4075.3,
453.24564,40889.9,
454.24911,9298.0,
461.28705,41073.5,
462.29108,13625.5,
463.30011,3291.8,
465.24542,34713.0,Ab4+[sc]
466.24854,8054.9,
467.22467,10800.4,Ab8++[sc]
467.72565,4638.6,
469.20392,4742.1,
470.29669,8271.5,
479.29755,202854.3,Ab1+[pepB]
480.30054,55304.7,
481.3046,8484.9,
487.32379,40074.9,Ay4+[N]
488.32672,12101.2,
489.28271,7573.3,
492.3291,18607.7,
493.33081,6930.3,
506.30783,3237.1,
507.29266,58686.3,
508.29514,17994.9,
516.30017,3910.7,
516.79364,10406.9,Ab6++[pepB]
517.29333,9177.0,
523.76807,13769.8,Ab9++[sc]
524.26813,12993.4,
525.30304,12671.9,
525.80505,5758.0,
530.79456,5477.7,
535.29004,5150.2,
538.3324,4439.0,
549.30328,6097.5,
558.31439,4026.5,
564.27777,12772.7,
564.38751,22624.0,
565.28687,4080.5,
565.38977,6595.0,
566.33002,17211.6,
566.8219,3556.5,
567.33008,6829.3,
571.81335,13248.0,
572.31335,11599.7,
573.82196,3686.1,
574.37146,15109.1,
575.35431,4139.0,
578.36682,7413.1,
579.30688,4482.3,
580.81934,34455.3,Ab7++[pepB]
581.3205,20599.3,
581.82251,9814.8,
582.28363,4526.8,
582.32928,5689.6,
584.23499,4098.5,
587.81415,15859.2,
588.31586,11418.0,
588.81122,7328.4,
591.39868,16174.0,
592.38257,97309.3,Ab2+[pepB]
593.3847,47542.1,
594.28748,36596.5,Ab5+[sc]
594.38733,8430.8,
595.29205,10552.3,
601.2915,4038.0,
605.31122,3441.2,
606.36108,8209.8,
607.36169,10730.5,
614.84216,3591.0,
615.33246,8741.9,
615.83337,8333.9,
616.38068,4239.8,
620.3252,5744.6,
624.34332,9831.9,
628.83655,21701.9,
629.33472,38466.8,
629.83569,11916.9,
635.35364,5200.3,
637.84076,59913.6,Ab8++[pepB]
638.3421,57437.4,
638.84277,18846.3,
644.3562,28664.4,
644.85608,31994.4,
645.35364,13884.3,
652.85382,3055.3,
653.36188,258839.3,Ay11++[sc];Ay0++[sc]
653.86304,269275.7,
654.36426,94884.8,
663.36127,3201.7,
663.4538,9277.1,
669.81836,4957.5,
670.38477,4889.7,
