m/z,intensity,ions_base_sc
157.09727,3437.9,
158.16454,3039.8,
165.36595,3412.0,
166.12265,23989.4,
171.07658,11494.8,
172.09622,5121.9,
173.12851,13559.8,
173.40295,77026.0,
175.11923,11601.8,
184.1331,6979.3,
185.1649,445561.3,
185.2408,3163.8,
186.16824,46750.8,
189.08722,15570.5,
190.80762,3283.2,
200.13945,6283.3,
201.12349,23318.4,
201.13306,3078.4,
213.15984,144297.3,Ab2+[N]
214.16319,16856.4,
215.13924,4813.0,
217.08199,40385.0,
218.08537,6150.5,
218.15001,30136.8,
226.11903,3835.5,
229.1189,4528.0,
230.14932,3777.4,
242.14986,4080.6,
269.1843,4092.1,
271.10352,3697.6,
282.1795,3530.4,
302.07968,4690.8,
312.15598,6612.4,
312.19144,9762.5,
314.20731,15825.0,
316.15131,5203.9,
317.12784,12092.2,
325.18747,13590.8,
326.78189,3641.3,
330.16602,22448.4,
331.23407,68365.5,Ay3+[N]
332.23697,13529.6,
337.20309,22559.5,Ay6++[N]
337.70465,9700.7,
338.18115,5969.0,
341.14563,4023.3,
343.17184,4751.1,
361.18298,21749.7,
362.1123,4912.7,
369.15854,8707.6,
373.18744,4796.8,
387.16928,9559.7,
394.71646,74995.3,Ay7++[N]
395.2182,36852.2,
395.71924,8078.6,
397.15408,15358.1,
407.26523,4604.7,
411.22379,4162.7,
413.20752,13536.3,
415.16504,14070.5,
416.19635,12183.1,
429.23358,8700.8,
431.21246,9698.3,
433.14944,6633.4,
435.73917,7995.1,
436.2395,7255.0,
439.25748,3765.5,
458.19922,6748.5,
465.27768,6861.9,
486.77856,22253.0,
487.74741,5456.6,
504.1893,4603.7,
508.25089,38884.2,
509.25452,5806.5,
510.25583,4870.0,
511.25299,4350.9,
529.27997,8224.1,
567.76416,12759.4,Ay10++[N]
568.26563,10742.6,
571.28534,6051.5,
582.64862,4106.1,
592.27594,3852.8,
596.3125,5496.2,
597.21326,4639.1,
600.28235,7971.0,Ay16+++[N]
600.61981,4768.3,
600.95142,7119.8,
621.80688,4402.9,
622.29907,7123.7,
622.79614,5136.7,
623.33759,15008.6,
624.34003,5357.7,
630.80499,399243.7,
631.30652,192034.3,
631.8067,56382.1,
632.28125,5328.9,
633.63519,4875.9,
633.79517,4325.3,
634.29114,9395.6,
638.3468,4447.2,
641.34985,16928.8,
642.32117,10885.7,
644.97485,3854.3,
645.10925,4686.2,
653.62677,6018.0,
659.36005,7258.7,
666.33862,9718.1,
667.3158,6775.5,
667.64819,17309.5,
667.98138,9236.6,
673.40094,11183.1,
674.80212,6258.6,
675.30597,5862.2,
678.33929,11670.2,
679.5553,4961.8,
682.33545,16789.4,
682.66895,18375.8,
683.00378,7325.1,
684.52435,4827.6,
687.72681,10036.4,
687.92657,4778.9,
688.13306,4576.4,
688.32532,5859.4,
688.82758,5639.3,Ay12++[N]
689.32654,9123.7,
690.32666,4654.2,
700.06885,6710.3,
707.30823,4297.5,
707.63904,8337.2,
707.7406,5566.7,
707.94147,15570.3,
708.13947,19336.2,
708.34149,6869.5,
710.3429,8747.7,
710.54413,10040.1,
710.74438,5644.5,
710.94403,9579.1,
712.82635,6413.3,
713.13177,6142.9,
714.68719,4064.9,
715.94183,6786.9,
716.13947,8134.4,
716.34143,7794.5,
717.32062,5315.3,
