m/z,intensity,ions_base_sc
166.06128,4267.2,
166.12257,15235.5,
170.1414,2669.5,
173.40582,36702.1,
175.1188,4206.8,
179.09251,2643.5,
183.14883,3749.8,
185.16475,3281.1,
195.08849,3303.7,
197.10327,8087.8,
199.1078,8415.9,
200.1395,4747.9,
200.649,2971.3,
201.72881,3009.0,
208.07188,9961.3,
211.14418,3020.3,
213.15987,3072.3,
218.14999,14608.3,
220.10809,2769.2,
225.09828,101540.4,Ab2+[N]
226.10204,9415.4,
226.11862,4049.6,
227.10284,23362.9,
233.09195,5192.3,
234.14542,4823.7,
237.13487,13206.4,
240.13474,4594.1,
244.12938,7079.9,
246.12692,5187.7,
246.89482,2621.5,
249.15977,3271.6,
272.5694,2762.6,
274.12115,4017.5,
276.1087,3045.4,
276.13351,2901.0,
278.11365,10061.0,
294.11926,5196.3,
300.155,4759.4,
308.1972,11874.6,
313.14935,3114.8,
315.16611,6313.2,
321.17645,12376.3,
329.18246,6958.7,
335.13565,20836.7,
336.13745,6328.3,
341.14575,104866.9,
342.14874,11872.0,
345.16019,3353.4,
346.21194,3045.4,
347.19223,6362.2,
355.16138,3452.5,
358.17239,7715.5,
367.16101,3388.8,
385.12921,49727.5,Ab3+[N]
385.17236,6723.2,
386.13181,5564.7,
387.12082,3321.5,
389.18118,9985.0,
390.18491,3844.3,
405.18018,3048.5,
406.20853,8779.0,Ay3+[N]
407.20465,14081.6,
408.1142,4111.7,
408.20721,3762.1,
409.20883,4301.9,
409.24344,7501.6,
417.17685,4925.9,
418.20917,4720.2,
423.20242,2938.8,
426.20221,4517.6,
426.23502,45331.1,
427.23727,8864.5,
428.25089,17833.9,
429.20117,3118.5,
429.25662,3678.8,
434.20477,6225.0,
434.26227,4580.1,
437.20233,9193.1,
443.41528,3112.9,
444.2092,6868.2,
447.27545,3083.2,
454.23019,83482.1,
455.23373,15399.2,
470.21823,4499.3,
474.20233,3994.5,
475.25256,8780.1,
476.2511,3411.4,
480.28195,4217.1,
486.76151,11874.8,
487.26639,4456.0,
487.76208,3414.0,
498.21353,32030.5,Ab4+[N]
499.21603,7379.6,
503.22778,4354.1,
523.28864,7116.2,
527.7514,3018.4,
535.21484,3928.2,
535.31055,7885.6,
539.28241,5883.7,
549.31183,2872.5,
551.28369,10692.2,
552.28857,4303.7,
557.29358,15262.4,
569.25067,34251.4,Ab5+[N]
570.25354,7863.0,
571.25305,3690.6,
576.26215,5633.8,
584.25055,5444.5,
585.26727,30802.9,Ab10++[N]
585.76886,16948.0,
595.30951,28007.2,
596.31219,9306.7,
601.3335,3526.7,
603.24933,4034.6,
606.78821,13969.7,
607.28912,6222.6,
611.78003,8111.5,
612.27063,3503.2,
612.88361,5005.7,
620.78564,89779.1,Ab11++[N]
621.28693,44913.5,
621.78754,16664.2,
622.28778,5065.9,
626.28583,6173.4,
638.31244,8703.9,
640.79285,3840.4,
641.8009,4309.2,
642.3045,4149.5,
650.33752,5922.9,
650.80548,3881.8,
654.82043,4927.3,
655.31866,4067.9,
656.36072,15170.5,
657.36444,4278.5,
659.78668,5063.0,
663.33014,31177.5,
663.83221,22050.7,
664.33136,8928.0,
664.83167,4764.4,
669.315,10283.1,
669.81519,4970.8,
670.3045,4398.9,
672.31696,4974.0,
677.3277,54524.1,Ab12++[N]
677.82904,32597.6,
678.32867,13942.5,
698.29333,52836.1,Ab6+[N]
699.29633,15715.1,
706.89105,15414.8,
709.81409,4902.9,
725.85144,7352.3,Ab13++[N]
726.34998,5685.1,
732.86121,10843.5,Ay5++[pepB]
733.36011,10078.6,
742.37823,4789.2,
743.36523,8171.7,
752.35822,19113.6,
753.35992,5006.4,
754.36285,4640.0,
754.86078,5989.1,
761.42468,5095.5,
769.37659,6155.8,
776.38025,4261.7,
781.34955,4271.5,
782.34497,5456.2,
782.84406,8721.2,
785.40277,7489.1,
790.37427,11251.7,Ab14++[N];Ay6++[pepB]
790.87048,17235.8,
791.37219,6629.8,
797.36218,64439.9,Ab7+[N]
798.36542,26689.6,
799.36499,5505.6,
808.71826,4503.9,
811.87836,5221.1,
812.8811,4200.5,
813.40765,5064.6,
813.72443,3493.1,
814.05682,8275.6,
824.88861,7224.2,
825.38947,4235.8,
830.87946,3302.4,
833.40192,4964.4,
835.73511,3643.1,
836.05823,3305.2,
836.38995,3961.2,
838.88757,14564.5,
839.38623,19962.3,
839.88904,6273.2,
841.06915,135844.9,Ay15+++[pepB]
841.40356,186105.9,
841.7381,153643.1,
842.07135,56238.3,
842.4046,14283.7,
847.39746,38274.4,Ab15++[N]
847.89893,39045.3,
848.40082,14989.9,
848.90442,6804.8,
855.40057,4609.8,
856.44263,17668.5,
857.44318,5290.9,
862.4718,4669.1,
879.42157,3793.0,
886.55756,3546.9,
889.94031,15874.9,
890.44055,10415.7,
890.9433,13157.6,
892.43707,10966.1,
893.45514,3442.5,
894.93365,4505.9,
895.43317,10484.9,
895.92816,10040.2,
896.42529,4180.6,
903.93939,52143.2,Ab16++[N]
904.44141,57674.6,
904.94196,35974.3,
905.44073,12221.0,
908.52228,34097.0,
909.52405,15238.7,
910.52887,9811.1,
926.40509,55666.1,Ab8+[N]
927.4079,20150.2,
928.40405,6560.6,
942.45441,12766.2,
943.44141,11738.2,
943.95795,3354.3,
944.44739,8378.1,
945.43463,6198.3,
952.45978,5845.6,Ab17++[N]
952.96167,4524.1,
953.48602,3837.2,
953.77228,6814.2,
954.10583,8102.1,
962.38342,9577.0,
962.49738,10463.5,
962.72064,5573.8,
963.04779,4047.1,
963.94818,11882.6,Ay9++[pepB]
964.45349,9554.9,
964.95459,4980.2,
965.46338,5341.3,
969.52417,8393.2,
970.52393,4501.6,
972.52087,32600.8,
973.5235,25548.8,
974.5246,10549.6,
974.77722,5758.1,
986.47009,9353.6,
986.80737,5569.0,
987.1347,6884.1,
987.46021,3889.1,
987.79559,4180.3,
991.45496,6296.8,
992.1427,29002.7,Ay19+++[pepB]
992.47827,51203.4,
992.8111,44255.1,
993.14526,39109.8,
993.48309,8685.5,
998.79834,4966.8,
1007.46527,12528.9,
1008.12506,7013.5,
1008.46588,3695.9,
1010.51593,4802.9,
1016.46899,8340.5,
1016.96545,5812.2,
1017.47717,7654.8,
1021.9646,6838.7,
1022.46802,5886.4,
1023.98242,4677.3,
1030.17139,4804.7,
1030.50281,3876.0,
1030.8396,5284.4,
1048.53284,9877.6,
1049.52917,7566.3,
1051.49438,4308.1,
1051.83325,4558.0,
1052.16003,4772.7,
1054.49768,8600.5,Ab9+[N]
1055.5011,8276.5,
1056.97498,5929.5,
1057.48523,30985.9,
1058.49329,16572.9,
1059.49536,5517.3,
1061.49963,4181.9,
1062.49561,3677.1,
1071.48608,4559.2,
1071.74707,5484.0,
1073.16553,8877.4,
1073.49268,12784.3,
1073.83508,10951.9,
1075.99402,9153.2,
1076.23621,8706.3,
1076.4884,27480.1,
1076.73999,10744.9,
1077.49597,5475.7,
1078.53674,6143.0,
1078.76794,8301.8,
1079.01465,17194.0,
1079.53503,3682.8,
1079.69531,3619.0,
1081.97876,4815.8,
1082.25537,13959.5,
1082.51392,16272.1,
1082.76013,13477.0,
1083.01843,21155.6,
1083.27124,24469.0,
1083.5199,21877.6,
1083.63123,33805.6,
1083.76477,4872.9,
1085.61047,4565.5,
1086.60583,6176.1,
1088.49072,4433.8,
1088.60535,5183.8,
1089.01318,3891.3,
1107.5033,11240.6,Ay12++[pepB]
1108.00745,13505.3,
1108.51038,8681.3,
1109.00842,9124.9,
1122.52698,25916.6,
1123.52747,15000.8,
1124.53796,4514.0,
1129.55542,20197.3,
1130.55908,9893.3,
1131.56348,4345.0,
1138.5293,4750.4,
1139.49817,4667.6,
1151.5094,6460.0,
1152.52979,10134.2,
1153.03198,10869.0,
1153.5354,7943.7,
1164.04028,8679.4,Ay13++[pepB]
1164.5481,9460.1,
1165.05017,10206.5,
1167.49597,37326.6,
1168.4989,10522.9,
1169.52197,16806.6,Ab10+[N]
1170.526,6788.4,
1171.5426,5052.5,
1179.53662,4172.2,
1180.54004,4119.3,
1185.57678,12163.3,
1186.5802,4963.6,
1188.0459,5469.9,
1188.54517,10244.5,
1189.05176,8070.8,
1189.55969,5453.5,
1190.047,7673.2,
1190.55627,10984.2,
1197.56213,4316.2,
1198.0625,5924.0,
1204.56897,5263.8,
1212.08496,4518.4,
1212.57349,58874.0,Ay14++[pepB]
1213.07568,82519.2,
1213.57629,74764.4,
1214.07568,24984.3,
