m/z,intensity,ions_base_sc
173.40338,43822.0,
175.11893,4682.1,
185.16425,12496.9,
192.83691,2727.7,
204.07967,5363.8,
213.15938,5593.8,
218.1488,3450.7,
228.61417,3404.3,
232.07391,4643.2,
238.644,2581.1,
240.18869,2637.4,
246.38547,2404.8,
301.09552,3066.6,
319.10651,3609.3,
331.23282,9188.8,
391.94894,3252.5,
394.71967,2668.7,
414.17929,3751.0,
657.2478,2757.5,
673.39343,6768.2,
782.16602,2994.3,
788.42102,8813.1,Ay7+[N]
789.43024,3223.3,
898.7641,3136.2,
900.41663,4043.6,
974.48273,3554.2,
988.43347,4060.9,
989.43256,5151.7,
989.54803,3178.4,
989.66705,2964.0,
1019.51685,3550.8,
1027.50366,10953.8,
1028.51013,8923.2,
1040.52197,3357.5,
1050.29541,3605.1,
1071.50659,4181.6,
1072.49988,4443.6,
1099.29712,3398.1,
1100.02515,13847.5,
1100.28442,3562.2,
1112.52112,7419.9,Ab16+++[pepB]
1112.86182,3944.9,
1124.28467,4049.1,
1124.44336,3071.9,
1124.9718,4203.1,
1127.55676,3295.8,
1127.81335,3763.0,
1134.52588,6565.3,
1141.57788,3059.0,
1149.31775,4720.8,
1149.54224,6260.0,
1150.24341,5174.7,
1152.5564,7127.5,
1152.90088,4993.9,
1153.55493,5251.1,
1153.8064,6218.7,
1154.04016,12345.9,
1154.29114,12468.2,
1154.54468,10203.1,
1166.57593,4455.5,
1170.55591,5269.5,
1170.80615,5550.9,
1177.89441,6591.0,
1178.23376,4058.3,
1178.58301,7224.7,
1182.90295,4251.7,
1183.23303,25579.0,
1183.56995,17821.2,
1183.90149,15614.4,
1184.56836,4739.1,
1189.2384,9940.4,Bb1+++[pepA]
1189.56714,4958.8,
1191.56836,10408.9,
1192.56616,4609.3,
1197.24475,5564.1,
1197.57764,12846.3,
1197.91211,10819.0,
1198.24097,9552.8,
1198.57422,9453.4,
1202.32751,14365.5,
1202.57507,25314.4,
1202.82556,43515.5,
1203.07764,27343.2,
1203.32861,15089.3,
1203.58142,12368.3,
1204.53894,4660.7,
1206.58154,59407.5,
1206.83252,130591.8,
1207.0813,321670.3,
1207.33289,299745.5,
1207.58301,176589.5,
1207.83398,62163.3,
1224.74255,5302.2,
1231.26758,6790.9,
1246.2345,9751.6,
1260.59656,30991.0,
1261.59839,21132.7,
1262.59985,12469.2,
1263.56519,4639.7,
1277.62244,16862.1,
1278.62146,12939.1,
1279.62354,7198.4,
1285.59973,3412.7,
1291.91248,12103.0,
1292.25696,10654.1,
1292.60217,4504.5,
1303.62329,6762.0,
1303.96497,3973.3,
1324.61572,7254.3,
1324.93896,8581.7,
1325.27246,6777.2,
1325.61353,3687.7,
1346.63916,6554.8,
1346.96777,4699.7,
1380.96594,4253.9,
1394.64465,4315.6,Ay23+++[pepB]
1395.00195,3980.6,
1416.68677,4165.0,
1422.67798,4264.8,
1423.0354,5513.1,
1428.66858,5689.9,
1428.99707,6378.6,
1460.03308,7829.6,
1465.04858,8346.7,Bb7+++[pepA]
1465.38342,7184.9,
1465.6875,4836.6,
1466.04163,5901.1,Ay25+++[pepB]
1466.3656,7638.1,
1490.73767,4484.1,
1498.70093,11009.7,Ab26+++[pepB]
1499.03015,14501.5,
1499.36646,10630.8,
1503.08435,4536.7,
1504.69409,6658.9,
1531.73975,6614.8,
1532.07361,8951.8,
1532.41919,10266.8,
1532.75183,11598.3,
1533.05798,5100.0,
1533.68909,3737.5,
1536.72803,6984.6,
1538.05676,7462.4,Ay27+++[pepB]
1538.38574,14198.6,
1538.72424,17550.2,
1560.39709,10890.3,
1560.73267,11261.6,
1668.7981,4761.9,
