m/z,intensity,ions_base_sc
166.73665,2137.0,
173.40816,11209.3,
175.11871,3025.2,
179.8011,2353.0,
195.48749,2488.9,
210.02023,2884.9,
227.04794,7259.0,
232.11066,6920.3,
232.9397,2471.2,
234.09047,4984.2,
244.16447,3272.5,
262.07071,4431.2,Ab2+[N]
262.0853,48727.2,Ab2+[N]
262.95648,2520.9,
263.0882,5851.5,
270.14441,22446.7,
272.10696,3379.9,
273.04169,2626.1,
289.13284,4441.4,
290.11572,3032.9,
307.14316,44367.2,Ay2+[N]
308.14532,5166.9,
328.75693,2822.2,
361.1535,21235.5,Ab3+[N]
362.1553,4045.3,
415.18417,2966.4,
420.22681,11744.5,
432.19089,7068.2,
443.78586,2888.3,
531.2597,3914.0,
547.21771,14355.9,
549.26917,16923.1,Ay4+[N]
550.27228,6179.4,
601.7876,3577.0,
602.28687,3133.2,
610.29114,6171.4,Ay10++[N]
610.79236,9056.9,
611.29382,5687.7,
625.33972,3544.2,
650.79828,3908.1,
676.25714,3609.5,
684.01324,3094.5,
686.81531,3259.6,
721.31903,23312.1,Ay6+[N]
722.32306,4295.9,
774.02271,4100.0,
802.69684,3735.0,
845.3584,3209.3,
868.3869,22896.7,Ay7+[N]
869.39111,18557.8,
870.38757,4446.1,
872.35858,4027.7,
882.33881,4252.7,
882.43817,4224.8,
883.72668,5018.1,
900.35175,12309.9,Ab8+[N]
901.35364,4901.4,
901.74384,4274.7,
902.41199,4186.7,
907.40662,8079.2,
907.73981,7316.5,
908.07208,5698.0,
929.75867,3287.8,
934.75574,3804.9,
940.42651,10517.3,
940.7605,7449.3,
941.09491,3145.4,
941.42712,6759.4,
950.41797,4113.1,
955.75897,16835.9,
956.09174,10627.1,
956.42474,11302.3,
956.75739,7179.8,
957.56885,5786.9,
961.09839,3336.4,
971.38629,17273.6,Ab9+[N]
972.38831,8053.4,
973.39453,3671.8,
977.43695,5091.4,
981.46722,14897.4,Ay8+[N]
982.46686,11861.0,
983.10443,14909.8,
983.44727,18904.1,
983.77411,7067.5,
986.42218,5026.2,
987.76678,6112.9,
988.10504,5274.3,
988.44379,7248.8,
988.7796,7682.2,
989.11017,34231.3,
