m/z,intensity,ions_base_sc
166.12299,16402.0,
173.40587,33368.3,
185.16519,110480.6,
186.16847,11300.9,
191.47916,2689.9,
200.13998,2542.7,
201.12366,10343.1,
213.1601,54127.0,
214.16385,4817.2,
217.08253,6903.9,
218.15036,15834.8,
240.3022,2907.7,
253.22839,3521.2,
298.14105,3693.1,
310.21741,3151.4,
314.20822,8066.9,
315.21078,2794.0,
316.14993,4637.1,
321.85715,3182.8,
327.14874,3202.3,
330.16684,12003.8,
331.17014,3508.3,
331.23474,46884.8,Ay3+[N]
332.23831,10989.9,
348.20374,4444.8,
397.12677,3114.3,
401.24063,3182.0,
409.27835,3280.6,
411.22528,8461.6,
411.69659,3172.8,
413.2023,5759.9,
415.25735,3176.5,
429.23492,34487.8,
430.23849,9686.4,
440.01138,3121.6,
443.24948,9725.7,
444.25278,3307.9,
446.26144,7527.1,
458.19949,3414.6,
465.83252,2932.6,
514.32428,9292.8,
515.32819,3943.9,
517.30054,5139.7,
542.32007,16682.9,
543.32404,6334.4,
625.3559,5301.7,
626.36017,4156.5,
643.37061,6473.2,
644.36511,3997.5,
660.33197,5932.9,
673.40088,30148.1,Ay6+[N]
674.40222,14395.5,
740.42041,5197.6,
745.87207,5447.4,
759.21844,3946.0,
771.40387,3512.4,
788.42767,51688.7,Ay7+[N]
789.43018,18485.0,
831.3924,5007.1,Ay15++[N]
831.89478,4981.5,
835.49365,9122.6,
836.49896,5112.9,
853.50067,8686.7,
854.50513,6087.4,
872.49243,6750.4,
873.48578,4702.9,
873.98767,4230.2,
881.91266,3292.4,
891.41772,3582.9,
899.91858,3564.5,
900.42737,7740.3,
900.92792,4157.4,
903.45221,3972.9,Ay8+[N]
904.45398,5385.2,
923.9256,4177.4,
929.46985,6426.7,
929.97278,9703.2,
930.4762,4661.5,
935.5564,3496.0,
943.4704,7287.4,Ab4++[pepB]
943.97485,9956.0,
944.47101,4202.5,
952.57141,5804.3,
953.58112,7396.1,
969.12573,6393.0,
969.35754,3978.6,
969.78577,6272.0,
972.48065,9198.8,
972.97961,7345.3,
974.49481,7808.6,Ay9+[N]
975.49701,7970.7,
979.93683,6101.5,
980.94647,3195.2,
981.48547,4816.9,
988.12732,4687.3,
997.12592,8637.6,
998.14612,4167.1,
1002.45184,10122.7,
1002.79315,21703.9,
1003.1319,14057.9,
1003.46552,17129.0,
1020.99158,4113.6,
1029.49426,14968.3,
1029.99463,39833.4,
1030.49548,26516.2,
1030.99927,11697.6,
1031.13,5535.2,
1031.49768,7809.2,
1034.48694,8186.7,Ab15+++[pepB]
1034.83032,15915.9,
1035.15625,13240.4,
1035.83484,4546.6,
1036.47522,4573.3,
