m/z,intensity,ions_base_sc
145.42293,2302.9,
147.11308,6208.1,
166.12285,28000.1,
167.12614,3881.3,
169.13361,6032.8,
173.12891,2972.7,
173.40379,38503.8,
175.11905,19214.7,
183.14934,35006.8,
184.1526,3064.6,
185.55644,2618.3,
189.4984,2434.7,
193.13365,13481.9,
194.12839,3331.1,
197.12851,7249.4,
198.12378,30162.8,
199.10782,4004.4,
200.13953,9259.2,
210.15996,5134.7,
211.01599,2451.6,
211.14423,170032.2,Bb2+[N]
212.14763,12240.0,
213.08687,3541.2,
226.11882,242320.5,
227.12201,12992.6,Ab2+[N]
228.13463,7084.6,
228.17172,3931.1,
237.19626,2489.8,
239.10562,4915.9,
243.1458,3957.5,
244.16589,21558.7,
245.12447,2954.8,
245.16885,3551.9,
262.15134,8429.2,
264.20862,4154.3,
265.19205,3978.7,
280.16577,3267.5,
280.20221,3453.6,
282.2178,54220.9,
283.22162,5988.5,
283.64767,2554.5,
286.11725,2962.9,
292.20221,87951.6,
293.20569,11407.1,
294.18048,4140.6,
297.19226,9034.9,
298.13913,3463.7,
307.17697,6151.9,
308.16031,4705.8,
308.19769,10801.5,
310.21289,147028.6,
311.21613,15398.8,
313.1503,2542.8,
325.18741,137149.6,Bb3+[N]
326.19077,15008.5,
326.69843,2915.9,
338.21835,6970.6,
342.13202,3394.3,
361.21994,28369.9,
361.45273,2736.0,
362.22223,3929.7,
364.2605,4500.4,
367.19693,3641.1,
379.16138,7964.7,
379.26941,4258.2,
381.17719,4799.8,
381.21213,3243.3,
384.22629,3109.9,
394.20853,17170.0,
396.2605,7138.4,
407.26544,6221.0,Ay3+[N]
408.26105,4451.7,
409.28232,5577.7,
411.26041,4098.9,
412.21939,27098.0,
414.19809,3500.1,
419.23441,2868.6,
424.25638,12090.2,
425.16367,2740.1,
436.25519,3256.2,
450.2355,4541.4,
450.26779,5902.2,
450.76471,11139.2,
451.26517,4260.2,
460.21881,4228.1,
475.23837,4461.3,
477.24597,14148.3,
478.23038,7739.5,
485.27231,5809.8,
490.26245,31902.2,
490.30048,3173.0,
491.26556,3727.6,
492.27908,6664.1,
495.2569,28598.4,
507.33047,4132.0,
511.28745,3053.4,
513.2674,25395.3,
514.27039,4369.2,
515.33105,4314.9,
518.29596,4743.6,
535.32416,22928.8,Ay4+[N]
536.32477,5311.0,
540.30359,5062.6,
567.15363,3429.7,
575.35791,2809.6,
589.33118,17135.6,
590.3313,7122.9,
594.32477,3711.6,
606.39893,10312.2,
607.40216,4860.4,
612.32965,3551.2,
634.39258,19182.1,
635.39746,3093.4,
639.37067,5984.9,
640.35352,3510.4,
649.35986,24329.3,
649.86102,14934.3,
658.36725,4000.4,
684.87793,3209.3,
688.88062,14898.1,
689.37775,23070.8,
689.87445,6404.9,
697.88477,9856.8,
698.38007,51403.7,
698.87958,26826.8,
702.41534,10866.9,
703.41663,5051.1,
706.89166,198858.9,
707.39288,145446.8,
707.89648,8206.5,
715.45209,4200.1,
723.40155,4835.3,
747.91315,6614.2,
748.41431,5246.2,
756.42603,22877.5,
756.92773,18182.4,
797.94604,5338.9,
803.46448,12875.2,
804.46167,7957.0,
822.47601,5137.4,
823.91547,7768.1,
824.44812,3868.6,
833.46783,3298.4,
836.47424,19548.1,
837.47882,19783.1,
838.47858,8635.4,
839.48145,5092.4,
852.48602,7153.8,
852.99097,11190.9,
861.49475,48317.4,
861.99554,54622.4,
862.49347,5202.2,
874.9743,9256.3,
875.47278,9674.1,
875.97577,8082.0,
882.50531,5448.5,
882.74133,3601.7,
883.49377,11550.9,
900.51575,324951.4,
901.41602,5710.4,
901.51855,121771.5,
923.51971,5649.9,
936.54449,3593.2,
945.5625,4014.1,
948.46387,4390.8,
957.53619,12505.0,
965.15717,3415.1,
976.22388,3366.2,
983.55194,5790.3,
984.55566,4099.2,
1001.56311,107337.8,
1002.56549,40508.6,
1028.4718,4101.2,
1044.5708,8963.5,
1052.57446,24994.4,
1053.57336,15260.5,
1070.58325,15446.8,
1071.57788,9115.1,
1088.59473,381113.0,
1089.5979,176568.6,
1090.60083,12537.9,
1139.63416,5409.5,
1143.64331,5550.2,
1151.63586,9113.4,
1152.64758,5221.3,
1169.6488,9746.4,
1170.64624,8638.8,
1171.64478,4105.8,
1187.66357,280394.1,
1188.66638,148377.3,
1189.66833,10351.1,
1269.70984,7739.4,
1297.70886,5895.3,
1298.69727,24566.9,
1299.70313,10897.1,
1315.7218,54625.6,
1316.72449,27869.3,
1368.74756,12408.6,
1369.75525,7867.5,
1377.74182,3999.1,
1394.75427,10175.8,
1395.75708,14477.3,
1396.76294,5950.7,
1412.77466,524592.0,
1413.7771,341315.3,
1414.78064,28253.6,
1511.84021,31347.9,
1512.84644,22332.3,
